cookie,duration,packet,byte,pps,bps,bpp,interarrival_time,port_src,port_dst,ip_proto,duration_sec,byte_count,packet_count,z_score-ipv4_src,z_score-ipv4_dst,z_score-ipv4_src-ipv4_dst,z_score-ipv4_src-ip_proto,is_attack
30,45,4,208,0.0888888888888888,4.622222222222222,52.0,11.25,22903,80,17,45,208,4,1.0,1.0,1.0,0.9640541410352405,1
31,45,4,256,0.0888888888888888,5.688888888888889,64.0,11.25,12654,80,6,45,256,4,1.0,1.0,1.0,0.8085615376424597,1
32,45,4,216,0.0888888888888888,4.8,54.0,11.25,80,12654,6,45,216,4,-1.0,-1.0,-1.0,0.6530689342496789,1
33,37,3,192,0.081081081081081,5.1891891891891895,64.0,12.333333333333334,29290,80,6,37,192,3,1.0,1.0,1.0,0.8085615376424597,1
34,37,3,162,0.081081081081081,4.378378378378378,54.0,12.333333333333334,80,29290,6,37,162,3,-1.0,-1.0,-1.0,0.6530689342496789,1
35,37,3,141,0.081081081081081,3.810810810810811,47.0,12.333333333333334,8,9,1,37,141,3,1.0,1.0,1.0,-1.0573497030709091,1
36,37,3,141,0.081081081081081,3.810810810810811,47.0,12.333333333333334,0,9,1,37,141,3,-1.0,-1.0,-1.0,-1.3683349098564703,1
37,37,3,156,0.081081081081081,4.216216216216216,52.0,12.333333333333334,62568,80,17,37,156,3,1.0,1.0,1.0,0.9640541410352405,1
38,37,3,156,0.081081081081081,4.216216216216216,52.0,12.333333333333334,20484,80,17,37,156,3,1.0,1.0,1.0,0.9640541410352405,1
39,37,3,156,0.081081081081081,4.216216216216216,52.0,12.333333333333334,45614,80,17,37,156,3,1.0,1.0,1.0,0.9640541410352405,1
40,29,2,128,0.0689655172413793,4.413793103448276,64.0,14.5,11403,80,6,29,128,2,1.0,1.0,1.0,0.8085615376424597,1
41,29,2,108,0.0689655172413793,3.724137931034482,54.0,14.5,80,11403,6,29,108,2,-1.0,-1.0,-1.0,0.6530689342496789,1
42,29,2,128,0.0689655172413793,4.413793103448276,64.0,14.5,60068,80,6,29,128,2,1.0,1.0,1.0,0.8085615376424597,1
43,29,2,108,0.0689655172413793,3.724137931034482,54.0,14.5,80,60068,6,29,108,2,-1.0,-1.0,-1.0,0.6530689342496789,1
44,29,2,104,0.0689655172413793,3.586206896551724,52.0,14.5,903,80,17,29,104,2,1.0,1.0,1.0,0.9640541410352405,1
