Unnamed: 0,cookie,duration,packet,byte,pps,bps,bpp,interarrival_time,port_src,port_dst,ip_proto,duration_sec,byte_count,packet_count,z_score-ipv4_src,z_score-ipv4_dst,z_score-ipv4_src-ipv4_dst,z_score-ipv4_src-ip_proto,is_attack
46,290,10,1,98,0.1,9.8,98.0,10.0,8,0,1,10,98,1,0.2672612419124244,1.466033332275663,0.9648062312349496,0.5940166326985765,0
31,222,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,8,0,1,11,98,1,2.138089935299395,0.0,0.055131784641997,2.310064682716687,0
38,365,10,1,98,0.1,9.8,98.0,10.0,8,0,1,10,98,1,0.1671315676162189,1.1391357828430966,0.4428610481746107,-0.1918708556403951,0
0,4,10,1,98,0.1,9.8,98.0,10.0,8,0,1,10,98,1,0.2568050933864685,0.3340917719323433,0.1184928758300046,0.1942571724714529,0
3,39,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,0,0,1,11,98,1,-0.3676894487556815,2.1243342977344235,1.7222374095679305,0.1370506111717107,0
1,8,10,1,98,0.1,9.8,98.0,10.0,0,0,1,10,98,1,0.2672612419124244,-1.221694443563052,-0.8545426619509555,1.1660326493712798,0
2,74,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,8,0,1,11,98,1,-0.3644462590574144,-0.1418951309521206,-0.8164965809277259,-0.3354101966249684,0
20,260,19,2,108,0.1052631578947368,5.684210526315789,54.0,9.5,14,0,1,19,108,2,-1.0,-1.0,-1.0,-1.0,1
28,193,10,1,54,0.1,5.4,54.0,10.0,80,45758,6,10,54,1,0.2672612419124244,0.0,0.9648062312349496,-0.836023408983182,0
39,366,10,1,98,0.1,9.8,98.0,10.0,0,0,1,10,98,1,1.50418410854597,-0.3386619894938936,0.4428610481746107,2.439500878856451,0
2,17,10,1,98,0.1,9.8,98.0,10.0,8,0,1,10,98,1,0.0,1.466033332275663,0.9648062312349496,0.3080086243622248,0
17,264,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,8,0,1,11,98,1,2.5511238134019005,0.236491884920201,2.2453655975512463,2.6832815729997477,0
0,5,10,1,98,0.1,9.8,98.0,10.0,8,0,1,10,98,1,-0.8017837257372732,0.0,-0.8545426619509555,-0.2640073923104785,0
14,176,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,0,0,1,11,98,1,2.5511238134019005,-0.5202821468244423,0.2041241452319314,2.6832815729997477,0
20,250,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,0,0,1,11,98,1,1.50418410854597,-0.5849616182167253,-0.8365153132187088,2.439500878856451,0
29,34,37,3,162,0.081081081081081,4.378378378378378,54.0,12.333333333333334,80,29290,6,37,162,3,-1.0,-1.0,-1.0,0.6530689342496789,1
38,335,10,1,98,0.1,9.8,98.0,10.0,8,0,1,10,98,1,-0.0366864419123526,1.4795492757003776,0.1184928758300046,0.5503953220024499,0
12,119,10,1,98,0.1,9.8,98.0,10.0,8,0,1,10,98,1,-0.902510465127582,2.1243342977344235,-0.8365153132187088,-0.5207923224525008,0
41,388,10,1,98,0.1,9.8,98.0,10.0,0,0,1,10,98,1,1.50418410854597,2.1243342977344235,0.4428610481746107,2.439500878856451,0
5,10,64,7,448,0.109375,7.0,64.0,9.142857142857142,44858,80,6,64,448,7,1.0,1.0,1.0,0.8085615376424597,1
7,120,18,2,108,0.1111111111111111,6.0,54.0,9.0,14,0,1,18,108,2,-1.0,-1.0,-1.0,-1.0,1
19,132,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,8,0,1,11,98,1,2.138089935299395,-0.2443388887126104,1.8744806778279024,2.310064682716687,0
41,259,10,1,98,0.1,9.8,98.0,10.0,0,0,1,10,98,1,0.2672612419124244,0.0,0.055131784641997,0.5940166326985765,0
55,345,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,0,0,1,11,98,1,2.138089935299395,0.0,-0.8545426619509555,2.310064682716687,0
16,227,23,2,92,0.0869565217391304,4.0,46.0,11.5,18,0,1,23,92,2,1.0,1.0,1.0,1.0,1
57,367,10,1,98,0.1,9.8,98.0,10.0,0,0,1,10,98,1,0.2672612419124244,0.0,0.055131784641997,1.1660326493712798,0
15,165,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,0,0,1,11,98,1,1.50418410854597,-0.3386619894938936,0.4428610481746107,2.439500878856451,0
39,338,10,1,98,0.1,9.8,98.0,10.0,0,0,1,10,98,1,1.4307712345817534,0.3340917719323433,0.1184928758300046,1.9749479201264373,0
