type, timestamp, datapath_id, n_buffers, n_tables, capabilities, cookie, command, flags, idle_timeout, hard_timeout, priority, buffer_id, out_port, data,-./01234567, in_port, total_len, reason, eth_dst, eth_src, duration_sec, duration_nsec, packet_count, byte_count
 PACKETIN, 1711750738.1354918, 4,,,,,,,,,, 4294967295,, b\xfa\x83\xc4\xb6\x8c\xd2\x1b\xec\xbf\xcb\xd6\x08\x00E\x00\x00T\tr@\x00@\x01\x1d5\n\x00\x00\x02\n\x00\x00\x01\x08\x00\x91Xd\xaa\x00\x01R\x07f\x00\x00\x00\x00\xe8\x84\x01\x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f !#$%&\*+,, 2, 98," NO MATCH
",,,,,,
 FLOWMOD, 1711750738.136749, 1,,,, 0, 0, 1, 10, 0, 1, 4294967295," 4294967295
",,,,,, d2:1b:ec:bf:cb:d6, fa:83:c4:22:b6:8c,,,,
 PACKETIN, 1711750738.136749, 1,,,,,,,,,, 4294967295,, b\xd2\x1b\xec\xbf\xcb\xd6\xfa\x83\xc4\xb6\x8c\x08\x00E\x00\x00TL\xa3\x00\x00@\x01\x1a\x04\n\x00\x00\x01\n\x00\x00\x02\x00\x00\x99Xd\xaa\x00\x01R\x07f\x00\x00\x00\x00\xe8\x84\x01\x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f !#$%&\*+,, 1, 98," NO MATCH
",,,,,,
 FLOWMOD, 1711750738.162161, 2,,,, 0, 0, 1, 10, 0, 1, 4294967295," 4294967295
",,,,,, d2:1b:ec:bf:cb:d6, fa:83:c4:22:b6:8c,,,,
 PACKETIN, 1711750738.162161, 2,,,,,,,,,, 4294967295,, b\xd2\x1b\xec\xbf\xcb\xd6\xfa\x83\xc4\xb6\x8c\x08\x00E\x00\x00TL\xa3\x00\x00@\x01\x1a\x04\n\x00\x00\x01\n\x00\x00\x02\x00\x00\x99Xd\xaa\x00\x01R\x07f\x00\x00\x00\x00\xe8\x84\x01\x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f !#$%&\*+,, 2, 98," NO MATCH
",,,,,,
 FLOWMOD, 1711750739.1191528, 2,,,, 0, 0, 1, 10, 0, 1, 4294967295," 4294967295
",,,,,, fa:83:c4:22:b6:8c, d2:1b:ec:bf:cb:d6,,,,
 PACKETIN, 1711750739.1191528, 2,,,,,,,,,, 4294967295,, b\xfa\x83\xc4\xb6\x8c\xd2\x1b\xec\xbf\xcb\xd6\x08\x00E\x00\x00T\t\xe5@\x00@\x01\x1c\xc2\n\x00\x00\x02\n\x00\x00\x01\x08\x00\x7fGd\xaa\x00\x02S\x07f\x00\x00\x00\x00\xf9\x94\x01\x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f !#$%&\*+,, 1, 98," NO MATCH
",,,,,,
 FLOWMOD, 1711750739.1903362, 1,,,, 0, 0, 1, 10, 0, 1, 4294967295," 4294967295
",,,,,, fa:83:c4:22:b6:8c, d2:1b:ec:bf:cb:d6,,,,
 PACKETIN, 1711750739.1903362, 1,,,,,,,,,, 4294967295,, b\xfa\x83\xc4\xb6\x8c\xd2\x1b\xec\xbf\xcb\xd6\x08\x00E\x00\x00T\t\xe5@\x00@\x01\x1c\xc2\n\x00\x00\x02\n\x00\x00\x01\x08\x00\x7fGd\xaa\x00\x02S\x07f\x00\x00\x00\x00\xf9\x94\x01\x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f !#$%&\*+,, 2, 98," NO MATCH
",,,,,,
 FLOWREMOVED, 1711750744.7466722, 2,,,, 0,,, 10,, 1,,,,,,," IDLE TIMEOUT
", d2:1b:ec:bf:cb:d6, 42:ef:19:3e:03:a4, 15, 408000000, 4, 280
