Unnamed: 0,cookie,duration,packet,byte,pps,bps,bpp,interarrival_time,port_src,port_dst,ip_proto,duration_sec,byte_count,packet_count,z_score-ipv4_src,z_score-ipv4_dst,z_score-ipv4_src-ipv4_dst,z_score-ipv4_src-ip_proto,is_attack
14,55,10,6,553,0.6,55.3,92.16666666666669,1.6666666666666667,50964,80,6,10,553,6,-0.0539949247156038,2.4805651256555197,2.578633484881217,0.1203858530857691,0
15,61,10,6,816,0.6,81.6,136.0,1.6666666666666667,80,50964,6,10,816,6,2.537761461633383,-0.0527779813969259,2.578633484881217,3.4911897394873064,0
16,66,10,5,463,0.5,46.3,92.6,2.0,40034,80,6,10,463,5,-0.4859543224404349,2.4805651256555197,-0.4834937784152283,-0.4414147946478204,0
17,69,10,4,676,0.4,67.6,169.0,2.5,80,40034,6,10,676,4,2.537761461633383,-0.4750018325723336,-0.4834937784152283,3.4911897394873064,0
18,75,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,8,0,1,11,98,1,-0.4859543224404349,-0.0527779813969259,-0.4834937784152283,-0.4414147946478204,0
19,88,10,4,409,0.4,40.9,102.25,2.5,48272,80,6,10,409,4,-0.4859543224404349,2.4805651256555197,-0.4834937784152283,-0.4414147946478204,0
20,91,10,4,676,0.4,67.6,169.0,2.5,80,48272,6,10,676,4,2.537761461633383,-0.8972256837477413,-0.4834937784152283,3.4911897394873064,0
21,104,10,7,627,0.7,62.7,89.57142857142857,1.4285714285714286,50972,80,6,10,627,7,-0.0539949247156038,2.4805651256555197,2.578633484881217,0.1203858530857691,0
22,111,10,5,742,0.5,74.2,148.4,2.0,80,50972,6,10,742,5,2.537761461633383,-0.0527779813969259,2.578633484881217,3.4911897394873064,0
23,114,10,4,409,0.4,40.9,102.25,2.5,33140,80,6,10,409,4,-0.917913720165266,2.4805651256555197,-0.4834937784152283,-0.4414147946478204,0
24,117,10,4,676,0.4,67.6,169.0,2.5,80,33140,6,10,676,4,2.537761461633383,-0.8972256837477413,-0.4834937784152283,3.4911897394873064,0
0,6,96,11,704,0.1145833333333333,7.333333333333333,64.0,8.727272727272727,36615,80,6,96,704,11,1.0,1.0,1.0,1.0,1
1,8,96,11,594,0.1145833333333333,6.1875,54.0,8.727272727272727,80,36615,6,96,594,11,-1.0,-1.0,-1.0,-1.0,1
2,11,96,11,704,0.1145833333333333,7.333333333333333,64.0,8.727272727272727,63151,80,6,96,704,11,1.0,1.0,1.0,1.0,1
3,13,95,11,594,0.1157894736842105,6.252631578947368,54.0,8.636363636363637,80,63151,6,95,594,11,-1.0,-1.0,-1.0,-1.0,1
4,19,95,11,704,0.1157894736842105,7.410526315789474,64.0,8.636363636363637,33893,80,6,95,704,11,1.0,1.0,1.0,1.0,1
5,21,95,11,594,0.1157894736842105,6.252631578947368,54.0,8.636363636363637,80,33893,6,95,594,11,-1.0,-1.0,-1.0,-1.0,1
6,22,95,11,704,0.1157894736842105,7.410526315789474,64.0,8.636363636363637,57325,80,6,95,704,11,1.0,1.0,1.0,1.0,1
7,24,95,11,594,0.1157894736842105,6.252631578947368,54.0,8.636363636363637,80,57325,6,95,594,11,-1.0,-1.0,-1.0,-1.0,1
8,30,90,10,640,0.1111111111111111,7.111111111111111,64.0,9.0,39368,80,6,90,640,10,1.0,1.0,1.0,1.0,1
9,32,90,10,540,0.1111111111111111,6.0,54.0,9.0,80,39368,6,90,540,10,-1.0,-1.0,-1.0,-1.0,1
